
molecule: nh2cho
file:/home/vanka/tamal/prebiotic_synthesis/sugar_synthesis_HCNH2O_0.75timestep_2.2.md/scr/coord.mol 
frame range: 0 - 78860
inc=1

0 0
3323 1 [4, 18, 19, 20, 54, 52]
4499 0
4528 1 [32, 3, 16, 56, 30, 31]
4542 0
11999 1 [39, 40, 41, 13, 51, 58]
12343 0
12386 1 [39, 40, 41, 13, 51, 58]
12405 0
12409 1 [39, 40, 41, 13, 51, 58]
12429 0
12430 1 [39, 40, 41, 13, 51, 58]
12809 0
12812 1 [39, 40, 41, 13, 51, 58]
16499 0
69022 1 [0, 65, 66, 10, 17, 22]
69030 0
69035 1 [0, 65, 66, 10, 17, 22]
69097 0
69103 1 [0, 65, 66, 10, 17, 22]
69122 0
69123 1 [0, 65, 66, 10, 17, 22]
69260 0
69264 1 [0, 65, 66, 10, 17, 22]
70499 0
73499 1 [0, 66, 10, 46, 17, 22]
73503 0
73536 1 [0, 66, 10, 46, 17, 22]
73549 0
73558 1 [0, 66, 10, 46, 17, 22]
73573 0
73580 1 [0, 66, 10, 46, 17, 22]
73596 0
73597 1 [0, 66, 10, 17, 22, 31]
73603 0
73620 1 [0, 66, 10, 17, 22, 31]
73626 0
73627 1 [0, 66, 10, 46, 17, 22]
73645 0
73650 1 [0, 66, 10, 46, 17, 22]
73667 0
73676 1 [0, 66, 10, 46, 17, 22]
73692 0
73699 1 [0, 66, 10, 46, 17, 22]
74014 1 [32, 5, 45, 47, 18, 22]
74043 0
74044 1 [32, 5, 45, 47, 18, 22]
74076 1 [0, 66, 10, 46, 17, 22]
74132 2 [0, 66, 10, 46, 17, 22] [32, 5, 45, 47, 18, 62]
74169 1 [0, 66, 10, 46, 17, 22]
74183 2 [0, 66, 10, 46, 17, 22] [32, 5, 45, 47, 18, 62]
77999 1 [32, 5, 45, 47, 18, 62]
78020 2 [0, 66, 10, 46, 17, 22] [32, 5, 45, 47, 18, 62]

3323 1 [4, 18, 19, 20, 54, 52]
4528 1 [32, 3, 16, 56, 30, 31]
11999 1 [39, 40, 41, 13, 51, 58]
69022 1 [0, 65, 66, 10, 17, 22]
73499 1 [0, 66, 10, 46, 17, 22]
73597 1 [0, 66, 10, 17, 22, 31]
74014 1 [32, 5, 45, 47, 18, 22]
74132 2 [0, 66, 10, 46, 17, 22] [32, 5, 45, 47, 18, 62]
77999 1 [32, 5, 45, 47, 18, 62]

3323 [4, 18, 19, 20, 54, 52]
4528 [32, 3, 16, 56, 30, 31]
11999 [39, 40, 41, 13, 51, 58]
69022 [0, 65, 66, 10, 17, 22]
73499 [0, 66, 10, 46, 17, 22]
73597 [0, 66, 10, 17, 22, 31]
74014 [32, 5, 45, 47, 18, 22]
74132 [32, 5, 45, 47, 18, 62]

